name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local
Evening Run,5058.7,1671,1693,4.5,Run,Run,,8688787584,2023-03-10T00:02:53Z,2023-03-09T19:02:53Z
Morning Run,1641.2,594,609,3.4,Run,Run,,8680099092,2023-03-08T11:20:03Z,2023-03-08T06:20:03Z
Evening Run,5148.1,1736,1766,4.6,Run,Run,,8650366712,2023-03-03T00:02:20Z,2023-03-02T19:02:20Z
Afternoon Snowboard,25184.3,6702,7238,2439.2,Snowboard,Snowboard,,8639031327,2023-02-28T21:18:32Z,2023-02-28T14:18:32Z
A few more,27572.4,6528,6625,2614.3,Snowboard,Snowboard,,8633360351,2023-02-27T21:29:24Z,2023-02-27T14:29:24Z
Morning Snowboard,69728.1,18279,22126,7628.0,Snowboard,Snowboard,,8628435918,2023-02-26T16:48:55Z,2023-02-26T09:48:55Z
Morning Snowboard,65920.5,15930,21197,6491.8,Snowboard,Snowboard,,8622254300,2023-02-25T16:53:33Z,2023-02-25T09:53:33Z
Park city pow pow,60105.7,17166,22125,5836.6,Snowboard,Snowboard,,8616679372,2023-02-24T17:04:33Z,2023-02-24T10:04:33Z
Morning Run,1492.5,544,615,3.6,Run,Run,,8603210801,2023-02-22T11:20:36Z,2023-02-22T06:20:36Z
Evening Run,5092.1,1594,1626,4.4,Run,Run,,8573843276,2023-02-17T00:03:52Z,2023-02-16T19:03:52Z
Lunch Run,5235.6,1728,1831,15.4,Run,Run,,8555478716,2023-02-13T17:53:39Z,2023-02-13T12:53:39Z
Evening Run,5140.1,1719,1725,4.4,Run,Run,,8534968743,2023-02-10T00:08:14Z,2023-02-09T19:08:14Z
Last day at Breck,67753.9,20500,24190,7536.2,Snowboard,Snowboard,,8512462463,2023-02-05T15:40:40Z,2023-02-05T08:40:40Z
Breck,54467.8,15948,21167,5387.6,Snowboard,Snowboard,,8506220690,2023-02-04T17:01:55Z,2023-02-04T10:01:55Z
First timer at Keystone. Made it a day,95747.3,23462,26280,10104.3,Snowboard,Snowboard,,8500430611,2023-02-03T15:50:27Z,2023-02-03T08:50:27Z
Half Day Breck Warmup,37894.0,8844,8917,3294.4,Snowboard,Snowboard,,8495663869,2023-02-02T20:50:09Z,2023-02-02T13:50:09Z
Afternoon Ride,0.0,1817,1817,0.0,Ride,Ride,,8477935562,2023-01-30T18:28:48Z,2023-01-30T13:28:48Z
Evening Run,5144.6,1733,1745,4.5,Run,Run,,8457845850,2023-01-27T00:02:26Z,2023-01-26T19:02:26Z
Morning Run,1542.8,591,628,3.3,Run,Run,,8448935803,2023-01-25T11:18:33Z,2023-01-25T06:18:33Z
Morning Run,2854.0,1022,1155,3.2,Run,Run,0.0,8434243604,2023-01-22T15:08:27Z,2023-01-22T10:08:27Z
Afternoon Run,3732.8,2042,2042,0.0,Run,Run,0.0,8423870903,2023-01-20T18:41:56Z,2023-01-20T13:41:56Z
