name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local
Morning Run,3121.7,1101,1192,13.2,Run,Run,0.0,8396517692,2023-01-15T14:27:21Z,2023-01-15T09:27:21Z
Mt Snow for the first of the season,49267.3,11531,11631,5055.8,Snowboard,Snowboard,,8393021644,2023-01-14T17:55:18Z,2023-01-14T12:55:18Z
Evening Run,5098.1,1645,1693,4.5,Run,Run,0.0,8382808337,2023-01-13T00:04:19Z,2023-01-12T19:04:19Z
Lunch Run,4318.3,2078,2078,0.0,Run,Run,0.0,8375447849,2023-01-11T16:33:52Z,2023-01-11T11:33:52Z
Afternoon Ride,0.0,2421,2421,0.0,Ride,Ride,0.0,8348746752,2023-01-06T18:32:14Z,2023-01-06T13:32:14Z
Evening Run,4985.8,1636,1657,4.9,Run,Run,0.0,8344848549,2023-01-06T00:03:28Z,2023-01-05T19:03:28Z
Morning Run,1635.0,578,602,3.5,Run,Run,0.0,8335925900,2023-01-04T11:20:56Z,2023-01-04T06:20:56Z
Lunch Mountain Bike Ride,5346.4,1212,1307,46.8,Ride,MountainBikeRide,0.0,8326919885,2023-01-02T17:43:32Z,2023-01-02T12:43:32Z
Afternoon Ride,12268.6,2738,3475,25.1,Ride,Ride,0.0,8312957636,2022-12-30T19:06:04Z,2022-12-30T14:06:04Z
Evening Run,5046.7,1664,1701,4.9,Run,Run,0.0,8309402508,2022-12-30T00:02:46Z,2022-12-29T19:02:46Z
Evening Run,5094.2,1822,1897,4.8,Run,Run,0.0,8233309515,2022-12-09T00:01:40Z,2022-12-08T19:01:40Z
Morning Run,4102.8,1340,1424,9.4,Run,Run,1.0,8206802343,2022-12-04T14:32:16Z,2022-12-04T09:32:16Z
Morning Run,3270.9,1060,1118,32.3,Run,Run,0.0,8197555772,2022-12-02T13:14:56Z,2022-12-02T08:14:56Z
Afternoon Run,3314.5,986,1023,6.6,Run,Run,0.0,8186660585,2022-11-29T21:57:33Z,2022-11-29T16:57:33Z
Morning Run,4908.7,1658,1707,58.6,Run,Run,0.0,8176984682,2022-11-24T13:28:41Z,2022-11-24T08:28:41Z
Afternoon Run,1484.9,636,719,22.9,Run,Run,0.0,8160390239,2022-11-23T18:08:56Z,2022-11-23T13:08:56Z
Evening Run,4870.4,1707,1723,4.1,Run,Run,0.0,8133065574,2022-11-18T00:01:21Z,2022-11-17T19:01:21Z
Evening Run,5055.9,1385,1393,4.2,Run,Run,0.0,8099468566,2022-11-11T00:03:26Z,2022-11-10T19:03:26Z
Afternoon Run,1635.9,562,575,25.7,Run,Run,0.0,8068667008,2022-11-04T20:33:34Z,2022-11-04T16:33:34Z
Evening Run,5015.1,1687,1700,4.2,Run,Run,0.0,8064920647,2022-11-03T23:06:23Z,2022-11-03T19:06:23Z
Evening Run,5111.4,1514,1518,4.2,Run,Run,0.0,8029730142,2022-10-27T23:05:08Z,2022-10-27T19:05:08Z
Morning Run,1591.9,576,591,3.6,Run,Run,0.0,8021266791,2022-10-26T10:18:14Z,2022-10-26T06:18:14Z
Evening Run,5024.6,1439,1460,4.1,Run,Run,0.0,7994758369,2022-10-20T23:04:15Z,2022-10-20T19:04:15Z
Morning Run,1619.0,548,592,32.5,Run,Run,0.0,7975473144,2022-10-16T05:12:34Z,2022-10-16T08:12:34Z
Morning Run,5027.7,1726,1851,22.7,Run,Run,0.0,7964395568,2022-10-14T04:23:29Z,2022-10-14T07:23:29Z
Lunch Run,6482.0,2200,2981,23.8,Run,Run,0.0,7944311118,2022-10-10T09:04:31Z,2022-10-10T12:04:31Z
Morning Run,1944.5,638,749,18.2,Run,Run,0.0,7944311011,2022-10-09T05:08:44Z,2022-10-09T08:08:44Z
Afternoon Run,1634.1,591,722,16.1,Run,Run,0.0,7930007627,2022-10-08T11:16:42Z,2022-10-08T14:16:42Z
Morning Run,1308.0,475,546,3.4,Run,Run,,7914296721,2022-10-05T09:38:11Z,2022-10-05T05:38:11Z
Evening Run,5030.1,1388,1404,4.2,Run,Run,,7887341648,2022-09-29T23:05:28Z,2022-09-29T19:05:28Z
Lunch Run,5047.9,1412,1448,14.3,Run,Run,0.0,7870676501,2022-09-26T16:25:40Z,2022-09-26T12:25:40Z
Morning Ride,16352.2,2189,2229,14.8,Ride,Ride,0.0,7865727377,2022-09-25T14:29:53Z,2022-09-25T10:29:53Z
Morning Run,4869.3,1453,1476,15.6,Run,Run,0.0,7854018544,2022-09-23T12:18:23Z,2022-09-23T08:18:23Z
Morning Ride,18097.4,2397,2490,12.6,Ride,Ride,0.0,7828208255,2022-09-18T13:00:54Z,2022-09-18T09:00:54Z
Lunch Run,8072.4,2261,2286,14.7,Run,Run,0.0,7823422657,2022-09-17T15:34:18Z,2022-09-17T11:34:18Z
Evening Run,4926.5,1296,1335,4.1,Run,Run,0.0,7814928302,2022-09-15T23:09:10Z,2022-09-15T19:09:10Z
Morning Run,1644.3,601,617,3.6,Run,Run,0.0,7806113626,2022-09-14T10:19:04Z,2022-09-14T06:19:04Z
Morning Ride,4741.3,940,1047,28.2,Ride,Ride,0.0,7785208304,2022-09-10T13:52:04Z,2022-09-10T09:52:04Z
Evening Run,4867.8,1343,1388,8.3,Run,Run,0.0,7777396075,2022-09-08T23:06:35Z,2022-09-08T19:06:35Z
Night Run,1656.4,578,610,5.7,Run,Run,0.0,7756313912,2022-09-05T02:00:39Z,2022-09-04T22:00:39Z
Morning Run,6467.8,2076,2092,69.5,Run,Run,0.0,7746779920,2022-09-03T11:22:22Z,2022-09-03T07:22:22Z
Evening Run,5185.5,1710,1714,8.8,Run,Run,0.0,7739459396,2022-09-01T23:05:40Z,2022-09-01T19:05:40Z
Morning Run,1589.8,603,618,3.3,Run,Run,0.0,7730166679,2022-08-31T10:20:58Z,2022-08-31T06:20:58Z
Morning Hike,16444.4,17208,23063,896.3,Hike,Hike,,7716857074,2022-08-28T12:42:10Z,2022-08-28T08:42:10Z
Morning Ride,16630.3,2278,2364,32.3,Ride,Ride,0.0,7702894763,2022-08-26T11:28:29Z,2022-08-26T07:28:29Z
Evening Run,5158.4,1388,1390,8.8,Run,Run,0.0,7700679169,2022-08-25T23:10:04Z,2022-08-25T19:10:04Z
Morning Run,5065.2,1659,1704,0.0,Run,Run,0.0,7685944717,2022-08-23T12:08:34Z,2022-08-23T08:08:34Z
Evening Run,5091.6,1506,1523,8.8,Run,Run,0.0,7661640425,2022-08-18T23:04:51Z,2022-08-18T19:04:51Z
Morning Run,1625.9,566,572,3.5,Run,Run,0.0,7652489958,2022-08-17T10:21:52Z,2022-08-17T06:21:52Z
Morning Run,5212.2,1607,1618,16.9,Run,Run,0.0,7630877525,2022-08-13T12:28:36Z,2022-08-13T08:28:36Z
Evening Run,5165.8,1438,1443,8.8,Run,Run,0.0,7623043708,2022-08-11T23:05:58Z,2022-08-11T19:05:58Z
Morning Run,1619.3,560,581,3.5,Run,Run,0.0,7613809033,2022-08-10T10:18:58Z,2022-08-10T06:18:58Z
Morning Run,4961.8,1654,1689,15.5,Run,Run,0.0,7602808651,2022-08-08T11:55:22Z,2022-08-08T07:55:22Z
Morning Run,1626.5,602,618,3.3,Run,Run,0.0,7574855793,2022-08-03T10:17:53Z,2022-08-03T06:17:53Z
Evening Run,5069.4,1552,1556,8.8,Run,Run,0.0,7545602204,2022-07-28T23:08:10Z,2022-07-28T19:08:10Z
Morning Run,1647.6,631,658,3.2,Run,Run,0.0,7536207132,2022-07-27T10:17:21Z,2022-07-27T06:17:21Z
Morning Run,7473.7,2573,2732,0.0,Run,Run,0.0,7509714721,2022-07-22T11:52:19Z,2022-07-22T07:52:19Z
Lunch Run,3399.6,1012,1018,10.1,Run,Run,0.0,7507776860,2022-07-19T16:55:07Z,2022-07-19T12:55:07Z
Lunch Stand Up Paddling,1653.6,1001,1001,0.0,StandUpPaddling,StandUpPaddling,,7473848365,2022-07-15T16:43:03Z,2022-07-15T12:43:03Z
Morning Run,1386.9,801,2798,0.0,Run,Run,0.0,7461567871,2022-07-13T10:36:55Z,2022-07-13T06:36:55Z
Morning Run,1630.8,537,542,3.3,Run,Run,0.0,7461302282,2022-07-13T10:16:34Z,2022-07-13T06:16:34Z
Afternoon Run,4978.5,1615,1653,13.8,Run,Run,0.0,7442622204,2022-07-09T20:52:27Z,2022-07-09T16:52:27Z
Lunch Run,4958.6,1476,1520,15.7,Run,Run,0.0,7430854980,2022-07-07T16:18:16Z,2022-07-07T12:18:16Z
Morning Run,885.3,492,1607,0.0,Run,Run,0.0,7430728423,2022-07-06T10:56:21Z,2022-07-06T06:56:21Z
Morning Run,3227.4,968,973,46.9,Run,Run,0.0,7409083527,2022-07-03T14:24:02Z,2022-07-03T10:24:02Z
Evening Run,4840.9,1440,1450,8.5,Run,Run,0.0,7395331936,2022-06-30T23:06:30Z,2022-06-30T19:06:30Z
Morning Ride,8431.5,1153,1278,63.8,Ride,Ride,0.0,7350107233,2022-06-22T12:12:15Z,2022-06-22T08:12:15Z
Out on the trail,3300.6,1065,1092,44.6,Run,Run,0.0,7324664261,2022-06-17T16:55:30Z,2022-06-17T12:55:30Z
Evening Run,5097.5,1657,1699,8.8,Run,Run,0.0,7321203201,2022-06-16T23:03:03Z,2022-06-16T19:03:03Z
Morning Run,1629.8,554,570,3.3,Run,Run,0.0,7311996524,2022-06-15T10:17:39Z,2022-06-15T06:17:39Z
Evening Run,5317.2,1586,1590,8.8,Run,Run,0.0,7282963823,2022-06-09T23:03:04Z,2022-06-09T19:03:04Z
REI 5k,5383.7,1412,1424,11.1,Run,Run,1.0,7259475862,2022-06-05T13:33:10Z,2022-06-05T09:33:10Z
Afternoon run,3243.7,893,943,13.0,Run,Run,0.0,7249232081,2022-06-03T16:54:44Z,2022-06-03T12:54:44Z
Harvard stairs,737.6,470,2226,0.0,Workout,Workout,,7238196973,2022-06-01T10:44:02Z,2022-06-01T06:44:02Z
Morning Run,1555.9,540,564,3.2,Run,Run,0.0,7236494988,2022-06-01T10:17:33Z,2022-06-01T06:17:33Z
Afternoon Run,6207.7,2092,2236,6.6,Run,Run,0.0,7212994966,2022-05-27T21:24:44Z,2022-05-27T17:24:44Z
Evening Run,5326.1,1778,1789,8.8,Run,Run,0.0,7208495384,2022-05-26T23:02:05Z,2022-05-26T19:02:05Z
Morning Run,4368.6,2003,2540,0.0,Run,Run,0.0,7199737344,2022-05-25T10:40:40Z,2022-05-25T06:40:40Z
Afternoon Ride,21790.4,3221,3353,19.8,Ride,Ride,0.0,7186560078,2022-05-22T17:09:13Z,2022-05-22T13:09:13Z
Afternoon Run,11295.0,3484,3545,12.2,Run,Run,0.0,7180856160,2022-05-21T18:44:17Z,2022-05-21T14:44:17Z
Evening Ride,13.2,9,51,0.0,Ride,Ride,0.0,7171368053,2022-05-19T23:32:24Z,2022-05-19T19:32:24Z
Evening Activity,5153.4,1590,1590,8.8,Snowboard,Snowboard,,7171358768,2022-05-19T23:03:38Z,2022-05-19T19:03:38Z
Evening Run,3401.2,971,1044,8.5,Run,Run,0.0,7165846704,2022-05-18T22:03:56Z,2022-05-18T18:03:56Z
Afternoon Run,4954.1,1504,1555,5.2,Run,Run,0.0,7160106860,2022-05-17T21:55:23Z,2022-05-17T17:55:23Z
Evening Run,5016.0,1559,1568,8.8,Run,Run,0.0,7133043386,2022-05-12T23:06:21Z,2022-05-12T19:06:21Z
Evening Run,3272.4,1326,1927,10.7,Run,Run,0.0,7127579630,2022-05-11T22:32:51Z,2022-05-11T18:32:51Z
Lunch Ride,3754.6,613,663,22.2,Ride,Ride,0.0,7125731636,2022-05-11T16:47:27Z,2022-05-11T12:47:27Z
Afternoon Ride,11688.0,1807,2132,13.8,Ride,Ride,0.0,7121755295,2022-05-10T21:36:34Z,2022-05-10T17:36:34Z
Morning Ride,5266.5,910,959,25.3,Ride,Ride,0.0,7118599671,2022-05-10T12:17:54Z,2022-05-10T08:17:54Z
Morning Ride,5454.4,972,1166,22.8,Ride,Ride,0.0,7118139710,2022-05-10T10:46:30Z,2022-05-10T06:46:30Z
Lunch Ride,3688.8,678,783,14.8,Ride,Ride,0.0,7087420182,2022-05-04T15:57:09Z,2022-05-04T11:57:09Z
Afternoon Ride,5149.1,865,946,16.3,Ride,Ride,0.0,7083692636,2022-05-03T21:28:43Z,2022-05-03T17:28:43Z
Morning Run,6484.4,1865,2007,15.4,Run,Run,0.0,7080802898,2022-05-03T11:52:46Z,2022-05-03T07:52:46Z
Lunch Ride,3718.2,567,613,21.9,Ride,Ride,0.0,7076663924,2022-05-02T16:16:40Z,2022-05-02T12:16:40Z
Lunch Ride,3831.1,677,742,14.4,Ride,Ride,0.0,7076409005,2022-05-02T15:27:47Z,2022-05-02T11:27:47Z
Lunch Ride,5599.7,869,923,12.3,Ride,Ride,0.0,7065793315,2022-04-30T15:57:18Z,2022-04-30T11:57:18Z
Evening Ride,5009.6,883,912,24.8,Ride,Ride,0.0,7061709187,2022-04-29T22:26:01Z,2022-04-29T18:26:01Z
Afternoon Ride,5171.7,889,939,13.9,Ride,Ride,0.0,7061453319,2022-04-29T20:56:22Z,2022-04-29T16:56:22Z
Evening Run,5177.1,1525,1549,8.8,Run,Run,0.0,7057167979,2022-04-28T23:02:16Z,2022-04-28T19:02:16Z
Afternoon Ride,5242.6,919,1034,25.9,Ride,Ride,0.0,7056793027,2022-04-28T21:15:10Z,2022-04-28T17:15:10Z
Morning Ride,5511.3,931,1062,22.8,Ride,Ride,0.0,7053788332,2022-04-28T10:51:50Z,2022-04-28T06:51:50Z
Evening Ride,4993.2,838,848,23.0,Ride,Ride,0.0,7051917294,2022-04-27T22:54:47Z,2022-04-27T18:54:47Z
Afternoon Run,3707.4,1164,1288,18.3,Run,Run,0.0,7046263757,2022-04-26T21:28:05Z,2022-04-26T17:28:05Z
Lunch Ride,3701.0,631,698,21.7,Ride,Ride,0.0,7039552019,2022-04-25T16:53:34Z,2022-04-25T12:53:34Z
Lunch Ride,3738.2,634,756,14.3,Ride,Ride,0.0,7039281221,2022-04-25T16:03:46Z,2022-04-25T12:03:46Z
Morning Run,3494.5,1206,1293,6.2,Run,Run,0.0,7027646781,2022-04-23T12:43:04Z,2022-04-23T08:43:04Z
Evening Run,5151.8,1798,1811,8.8,Run,Run,0.0,7020404487,2022-04-21T23:06:40Z,2022-04-21T19:06:40Z
Afternoon Ride,5315.9,1252,1386,25.4,Ride,Ride,0.0,7020161641,2022-04-21T21:57:17Z,2022-04-21T17:57:17Z
Morning Ride,5444.4,1061,1275,22.9,Ride,Ride,0.0,7016891884,2022-04-21T10:59:10Z,2022-04-21T06:59:10Z
Lunch Ride,3811.3,690,868,14.9,Ride,Ride,0.0,7007456290,2022-04-19T15:21:00Z,2022-04-19T11:21:00Z
Evening Ride,5106.5,929,992,22.8,Ride,Ride,0.0,7004407118,2022-04-18T22:49:22Z,2022-04-18T18:49:22Z
Afternoon Ride,5123.0,790,812,13.5,Ride,Ride,0.0,7004121024,2022-04-18T21:22:46Z,2022-04-18T17:22:46Z
Lunch Ride,5436.4,876,912,22.3,Ride,Ride,0.0,6997445115,2022-04-17T15:39:12Z,2022-04-17T11:39:12Z
Evening Run,5159.0,1753,1777,8.8,Run,Run,0.0,6982944730,2022-04-14T23:09:22Z,2022-04-14T19:09:22Z
Evening Ride,5077.6,879,942,23.2,Ride,Ride,0.0,6977735160,2022-04-13T22:30:14Z,2022-04-13T18:30:14Z
Lunch Ride,3697.6,600,708,21.9,Ride,Ride,0.0,6976314810,2022-04-13T16:57:05Z,2022-04-13T12:57:05Z
Lunch Ride,3752.2,675,723,14.5,Ride,Ride,0.0,6975941639,2022-04-13T15:54:19Z,2022-04-13T11:54:19Z
Evening Ride,9340.3,1785,3330,21.1,Ride,Ride,0.0,6972772554,2022-04-12T22:41:04Z,2022-04-12T18:41:04Z
Afternoon Ride,4662.6,850,1305,12.8,Ride,Ride,0.0,6972342821,2022-04-12T21:21:11Z,2022-04-12T17:21:11Z
Lunch Ride,3723.2,581,596,14.6,Ride,Ride,0.0,6965379822,2022-04-11T15:57:40Z,2022-04-11T11:57:40Z
Afternoon Ride,3744.5,648,741,21.2,Ride,Ride,0.0,6950889608,2022-04-08T19:17:05Z,2022-04-08T15:17:05Z
Evening Run,5218.2,1700,1761,8.8,Run,Run,0.0,6947261955,2022-04-07T23:01:39Z,2022-04-07T19:01:39Z
Evening Ride,5301.1,1031,1134,23.0,Ride,Ride,0.0,6937498034,2022-04-05T22:33:38Z,2022-04-05T18:33:38Z
Afternoon Ride,5066.8,864,1120,13.0,Ride,Ride,0.0,6937199673,2022-04-05T21:09:50Z,2022-04-05T17:09:50Z
Lunch Ride,3884.9,698,880,14.6,Ride,Ride,0.0,6930705733,2022-04-04T15:58:29Z,2022-04-04T11:58:29Z
Morning Run,6166.7,2293,3476,188.6,Run,Run,0.0,6795687679,2022-03-09T04:24:03Z,2022-03-09T06:24:03Z
Morning Run,3380.9,1220,1368,57.2,Run,Run,0.0,6790410281,2022-03-08T06:09:52Z,2022-03-08T08:09:52Z
Morning Run,4882.3,1574,1658,67.9,Run,Run,0.0,6779843998,2022-03-06T05:32:58Z,2022-03-06T07:32:58Z
Morning Run,3111.3,1142,1306,37.9,Run,Run,0.0,6779843997,2022-03-05T06:04:58Z,2022-03-05T08:04:58Z
Afternoon Ride,3731.5,704,1480,21.6,Ride,Ride,0.0,6762746290,2022-03-02T18:00:34Z,2022-03-02T13:00:34Z
Lunch Ride,3786.4,601,678,14.7,Ride,Ride,0.0,6762327284,2022-03-02T17:01:03Z,2022-03-02T12:01:03Z
Afternoon Run,5031.8,1372,1485,15.5,Run,Run,0.0,6758877651,2022-03-01T22:34:34Z,2022-03-01T17:34:34Z
Lunch Ride,3699.4,733,1053,20.2,Ride,Ride,0.0,6732451372,2022-02-24T17:52:58Z,2022-02-24T12:52:58Z
Lunch Ride,4055.8,793,1382,14.7,Ride,Ride,0.0,6732359780,2022-02-24T16:48:48Z,2022-02-24T11:48:48Z
Morning Ride,5357.9,1022,1189,25.1,Ride,Ride,0.0,6731288813,2022-02-24T13:11:26Z,2022-02-24T08:11:26Z
Morning Ride,5344.9,1010,1436,23.1,Ride,Ride,0.0,6730975837,2022-02-24T11:54:28Z,2022-02-24T06:54:28Z
Morning Ride,5468.0,1044,1217,24.6,Ride,Ride,0.0,6726313061,2022-02-23T13:22:03Z,2022-02-23T08:22:03Z
Morning Ride,5329.2,896,981,22.5,Ride,Ride,0.0,6726220137,2022-02-23T11:56:04Z,2022-02-23T06:56:04Z
Lunch Ride,3767.7,580,612,18.8,Ride,Ride,0.0,6722253402,2022-02-22T17:49:53Z,2022-02-22T12:49:53Z
Lunch Ride,3903.7,778,977,14.2,Ride,Ride,0.0,6721921852,2022-02-22T16:46:07Z,2022-02-22T11:46:07Z
Afternoon Ride,5061.1,847,871,22.7,Ride,Ride,0.0,6707861268,2022-02-19T18:45:50Z,2022-02-19T13:45:50Z
Lunch Ride,5169.3,875,916,14.1,Ride,Ride,0.0,6707544134,2022-02-19T17:28:42Z,2022-02-19T12:28:42Z
Evening Ride,5049.2,927,961,22.7,Ride,Ride,0.0,6704171675,2022-02-18T23:46:47Z,2022-02-18T18:46:47Z
Afternoon Ride,5144.4,918,1162,14.0,Ride,Ride,0.0,6703253705,2022-02-18T22:07:26Z,2022-02-18T17:07:26Z
Evening Ride,5123.4,936,955,23.1,Ride,Ride,0.0,6699347548,2022-02-17T23:35:00Z,2022-02-17T18:35:00Z
Lunch Ride,3688.5,660,724,18.9,Ride,Ride,0.0,6692954925,2022-02-16T17:59:36Z,2022-02-16T12:59:36Z
Lunch Ride,3818.6,729,1442,14.5,Ride,Ride,0.0,6692888679,2022-02-16T16:53:28Z,2022-02-16T11:53:28Z
Lunch Run,5218.8,2124,2124,0.0,Run,Run,0.0,6687757618,2022-02-15T17:24:22Z,2022-02-15T12:24:22Z
Evening Ride,5104.8,1006,1164,23.0,Ride,Ride,0.0,6684338272,2022-02-14T23:49:03Z,2022-02-14T18:49:03Z
Lunch Ride,5084.3,973,1008,22.7,Ride,Ride,0.0,6678397859,2022-02-13T16:35:05Z,2022-02-13T11:35:05Z
Morning Ride,5143.8,906,1119,14.1,Ride,Ride,0.0,6677812812,2022-02-13T15:03:05Z,2022-02-13T10:03:05Z
Evening Ride,5095.5,914,939,22.7,Ride,Ride,0.0,6674103488,2022-02-12T23:02:27Z,2022-02-12T18:02:27Z
Afternoon Ride,5124.7,869,927,14.1,Ride,Ride,0.0,6673988845,2022-02-12T22:24:24Z,2022-02-12T17:24:24Z
Lunch Ride,3771.0,681,779,17.2,Ride,Ride,0.0,6662270586,2022-02-10T17:50:37Z,2022-02-10T12:50:37Z
Lunch Run,3246.1,1352,1352,0.0,Run,Run,0.0,6662099562,2022-02-10T17:10:51Z,2022-02-10T12:10:51Z
Lunch Ride,3872.6,682,845,14.5,Ride,Ride,0.0,6661916754,2022-02-10T16:46:10Z,2022-02-10T11:46:10Z
Afternoon Ride,3807.6,713,1320,18.5,Ride,Ride,0.0,6657234857,2022-02-09T18:06:14Z,2022-02-09T13:06:14Z
Lunch Run,5676.5,2328,2328,0.0,Run,Run,0.0,6657074906,2022-02-09T17:22:36Z,2022-02-09T12:22:36Z
Lunch Ride,4103.4,824,1167,14.4,Ride,Ride,0.0,6657074949,2022-02-09T17:00:58Z,2022-02-09T12:00:58Z
Afternoon Run,6540.3,1905,2083,30.2,Run,Run,0.0,6647700894,2022-02-07T22:53:33Z,2022-02-07T15:53:33Z
Morning Activity,64448.0,15003,16821,6323.5,NordicSki,NordicSki,,6642787762,2022-02-06T17:26:56Z,2022-02-06T10:26:56Z
Lunch Activity,47141.5,15006,18133,5172.1,NordicSki,NordicSki,,6637497803,2022-02-05T18:04:28Z,2022-02-05T11:04:28Z
Afternoon Activity,29672.3,6503,7451,2771.2,NordicSki,NordicSki,,6632042097,2022-02-04T21:16:58Z,2022-02-04T14:16:58Z
Afternoon Run,3438.4,1035,1153,13.2,Run,Run,0.0,6627835137,2022-02-03T23:56:57Z,2022-02-03T16:56:57Z
Afternoon Run,5051.6,1530,1686,64.7,Run,Run,0.0,6617463579,2022-02-01T22:41:38Z,2022-02-01T15:41:38Z
Morning Activity,44745.7,13123,21280,3908.5,NordicSki,NordicSki,,6607714170,2022-01-30T16:50:52Z,2022-01-30T09:50:52Z
Morning Activity,51418.4,15920,20711,4778.5,NordicSki,NordicSki,,6602135290,2022-01-29T17:30:22Z,2022-01-29T10:30:22Z
Afternoon Activity,27486.3,5930,6119,2496.5,NordicSki,NordicSki,,6596543253,2022-01-28T21:28:52Z,2022-01-28T14:28:52Z
Lunch Run,3376.9,1772,1772,0.0,Run,Run,0.0,6585812112,2022-01-26T17:44:47Z,2022-01-26T12:44:47Z
Morning Ride,5433.2,1039,1135,25.2,Ride,Ride,0.0,6584463079,2022-01-26T13:09:51Z,2022-01-26T08:09:51Z
Morning Ride,5496.4,985,1160,22.1,Ride,Ride,0.0,6584151215,2022-01-26T12:02:34Z,2022-01-26T07:02:34Z
Evening Ride,5098.6,924,1117,23.1,Ride,Ride,0.0,6582251773,2022-01-25T23:59:04Z,2022-01-25T18:59:04Z
Afternoon Ride,5161.1,946,1171,13.9,Ride,Ride,0.0,6581842771,2022-01-25T22:19:18Z,2022-01-25T17:19:18Z
Morning Ride,4037.2,754,953,17.6,Ride,Ride,0.0,6564112889,2022-01-22T15:37:23Z,2022-01-22T10:37:23Z
Morning Ride,5378.0,924,1167,22.6,Ride,Ride,0.0,6563666587,2022-01-22T14:27:46Z,2022-01-22T09:27:46Z
Afternoon Run,3331.6,967,1086,11.9,Run,Run,0.0,6560445086,2022-01-21T22:57:16Z,2022-01-21T17:57:16Z
Lunch Ride,3721.6,651,692,19.1,Ride,Ride,0.0,6554557163,2022-01-20T17:45:27Z,2022-01-20T12:45:27Z
Lunch Run,2895.2,1241,1241,0.0,Run,Run,0.0,6554557132,2022-01-20T17:09:53Z,2022-01-20T12:09:53Z
Lunch Ride,3894.0,697,788,14.4,Ride,Ride,0.0,6554276455,2022-01-20T16:48:15Z,2022-01-20T11:48:15Z
